Time resolution is 1 ps
Time: 4035000 | rst: 0 | cke: 1 | xn:     10 | yn:      283822
Time: 4055000 | rst: 0 | cke: 1 | xn:     10 | yn:      284261
Time: 4075000 | rst: 0 | cke: 1 | xn:     10 | yn:      284695
Time: 4095000 | rst: 0 | cke: 1 | xn:     10 | yn:      285125
Time: 4115000 | rst: 0 | cke: 1 | xn:     10 | yn:      285550
Time: 4135000 | rst: 0 | cke: 1 | xn:     10 | yn:      285971
Time: 4155000 | rst: 0 | cke: 1 | xn:     10 | yn:      286388
Time: 4175000 | rst: 0 | cke: 1 | xn:     10 | yn:      286801
Time: 4195000 | rst: 0 | cke: 1 | xn:     10 | yn:      287210
Time: 4215000 | rst: 0 | cke: 1 | xn:     10 | yn:      287615
Time: 4235000 | rst: 0 | cke: 1 | xn:     10 | yn:      288016
Time: 4255000 | rst: 0 | cke: 1 | xn:     10 | yn:      288413
Time: 4275000 | rst: 0 | cke: 1 | xn:     10 | yn:      288806
Time: 4295000 | rst: 0 | cke: 1 | xn:     10 | yn:      289195
Time: 4315000 | rst: 0 | cke: 1 | xn:     10 | yn:      289580
Time: 4335000 | rst: 0 | cke: 1 | xn:     10 | yn:      289961
Time: 4355000 | rst: 0 | cke: 1 | xn:     10 | yn:      290338
Time: 4375000 | rst: 0 | cke: 1 | xn:     10 | yn:      290711
Time: 4395000 | rst: 0 | cke: 1 | xn:     10 | yn:      291081
Time: 4415000 | rst: 0 | cke: 1 | xn:     10 | yn:      291447
Time: 4435000 | rst: 0 | cke: 1 | xn:     10 | yn:      291809
Time: 4455000 | rst: 0 | cke: 1 | xn:     10 | yn:      292168
Time: 4475000 | rst: 0 | cke: 1 | xn:     10 | yn:      292523
Time: 4495000 | rst: 0 | cke: 1 | xn:     10 | yn:      292874
Time: 4515000 | rst: 0 | cke: 1 | xn:     10 | yn:      293222
Time: 4535000 | rst: 0 | cke: 1 | xn:     10 | yn:      293566
Time: 4555000 | rst: 0 | cke: 1 | xn:     10 | yn:      293907
Time: 4575000 | rst: 0 | cke: 1 | xn:     10 | yn:      294245
Time: 4595000 | rst: 0 | cke: 1 | xn:     10 | yn:      294579
Time: 4615000 | rst: 0 | cke: 1 | xn:     10 | yn:      294910
Time: 4635000 | rst: 0 | cke: 1 | xn:     10 | yn:      295238
Time: 4655000 | rst: 0 | cke: 1 | xn:     10 | yn:      295562
Time: 4675000 | rst: 0 | cke: 1 | xn:     10 | yn:      295883
Time: 4695000 | rst: 0 | cke: 1 | xn:     10 | yn:      296201
Time: 4715000 | rst: 0 | cke: 1 | xn:     10 | yn:      296516
Time: 4735000 | rst: 0 | cke: 1 | xn:     10 | yn:      296827
Time: 4755000 | rst: 0 | cke: 1 | xn:     10 | yn:      297135
Time: 4775000 | rst: 0 | cke: 1 | xn:     10 | yn:      297440
Time: 4795000 | rst: 0 | cke: 1 | xn:     10 | yn:      297742
Time: 4815000 | rst: 0 | cke: 1 | xn:     10 | yn:      298041
Time: 4835000 | rst: 0 | cke: 1 | xn:     10 | yn:      298337
Time: 4855000 | rst: 0 | cke: 1 | xn:     10 | yn:      298630
Time: 4875000 | rst: 0 | cke: 1 | xn:     10 | yn:      298920
Time: 4895000 | rst: 0 | cke: 1 | xn:     10 | yn:      299207
Time: 4915000 | rst: 0 | cke: 1 | xn:     10 | yn:      299492
Time: 4935000 | rst: 0 | cke: 1 | xn:     10 | yn:      299774
Time: 4955000 | rst: 0 | cke: 1 | xn:     10 | yn:      300053
Time: 4975000 | rst: 0 | cke: 1 | xn:     10 | yn:      300329
Time: 4995000 | rst: 0 | cke: 1 | xn:     10 | yn:      300602
Time: 5015000 | rst: 0 | cke: 1 | xn:     10 | yn:      300873
Time: 5035000 | rst: 0 | cke: 1 | xn:     10 | yn:      301141
Time: 5055000 | rst: 0 | cke: 1 | xn:     10 | yn:      301406
Time: 5075000 | rst: 0 | cke: 1 | xn:     10 | yn:      301668
Time: 5095000 | rst: 0 | cke: 1 | xn:     10 | yn:      301928
Time: 5115000 | rst: 0 | cke: 1 | xn:     10 | yn:      302185
Time: 5135000 | rst: 0 | cke: 1 | xn:     10 | yn:      302440
Time: 5155000 | rst: 0 | cke: 1 | xn:     10 | yn:      302692
Time: 5175000 | rst: 0 | cke: 1 | xn:     10 | yn:      302942
Time: 5195000 | rst: 0 | cke: 1 | xn:     10 | yn:      303189
Time: 5215000 | rst: 0 | cke: 1 | xn:     10 | yn:      303434
Time: 5235000 | rst: 0 | cke: 1 | xn:     10 | yn:      303676
Time: 5255000 | rst: 0 | cke: 1 | xn:     10 | yn:      303916
Time: 5275000 | rst: 0 | cke: 1 | xn:     10 | yn:      304153
Time: 5295000 | rst: 0 | cke: 1 | xn:     10 | yn:      304388
Time: 5315000 | rst: 0 | cke: 1 | xn:     10 | yn:      304621
Time: 5335000 | rst: 0 | cke: 1 | xn:     10 | yn:      304851
Time: 5355000 | rst: 0 | cke: 1 | xn:     10 | yn:      305079
Time: 5375000 | rst: 0 | cke: 1 | xn:     10 | yn:      305305
Time: 5395000 | rst: 0 | cke: 1 | xn:     10 | yn:      305528
Time: 5415000 | rst: 0 | cke: 1 | xn:     10 | yn:      305749
Time: 5435000 | rst: 0 | cke: 1 | xn:     10 | yn:      305968
Time: 5455000 | rst: 0 | cke: 1 | xn:     10 | yn:      306185
Time: 5475000 | rst: 0 | cke: 1 | xn:     10 | yn:      306400
Time: 5495000 | rst: 0 | cke: 1 | xn:     10 | yn:      306613
Time: 5515000 | rst: 0 | cke: 1 | xn:     10 | yn:      306823
Time: 5535000 | rst: 0 | cke: 1 | xn:     10 | yn:      307031
Time: 5555000 | rst: 0 | cke: 1 | xn:     10 | yn:      307237
Time: 5575000 | rst: 0 | cke: 1 | xn:     10 | yn:      307441
Time: 5595000 | rst: 0 | cke: 1 | xn:     10 | yn:      307643
Time: 5615000 | rst: 0 | cke: 1 | xn:     10 | yn:      307843
Time: 5635000 | rst: 0 | cke: 1 | xn:     10 | yn:      308041
Time: 5655000 | rst: 0 | cke: 1 | xn:     10 | yn:      308237
Time: 5675000 | rst: 0 | cke: 1 | xn:     10 | yn:      308431
Time: 5695000 | rst: 0 | cke: 1 | xn:     10 | yn:      308623
Time: 5715000 | rst: 0 | cke: 1 | xn:     10 | yn:      308813
Time: 5735000 | rst: 0 | cke: 1 | xn:     10 | yn:      309001
Time: 5755000 | rst: 0 | cke: 1 | xn:     10 | yn:      309187
